attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
56,83,12572,34387,22629,54417,23722,5238,5289,2108
37,96,86265,71073,23743,19534,7582,7600,2107,4359
38,100,68122,10152,10576,11259,1884,2686,3634,5566
50,97,19140,19625,8231,15358,1516,4753,4841,4836
57,96,11180,22274,12780,3957,11378,5485,6551,5296
41,100,22339,37180,44367,12488,2919,5451,2659,7100
44,91,19841,62909,6226,7937,2019,8169,1980,5728
56,93,6785,9321,5744,19020,3949,9266,3255,8318
50,96,20430,24298,13899,15612,12381,4392,4738,6658
57,96,6613,12526,17981,9126,4387,4561,6001,13036
74,93,68203,26424,2391,6600,1622,6627,5031,6630
81,93,15221,13458,4670,8274,453,3541,1286,8655
69,100,18138,5020,5018,18013,4682,7161,2158,4031
67,100,1577,10968,3875,20407,4666,5689,2630,2831
63,100,63454,16660,8332,47962,1518,6764,4111,6182
66,100,91858,28514,17452,11713,2550,7534,3697,3828
56,100,119304,15890,14034,7424,7003,4590,2600,3564
54,100,47289,13810,7109,22026,3758,6050,3763,3185
63,100,16886,8331,2398,16062,1477,5397,8176,2321
74,100,5892,2616,5172,12586,2298,4823,2618,3507
80,100,3842,10396,7865,16626,2279,13075,1314,2370
67,100,7726,11488,19197,7820,2227,3020,1662,4192
61,100,42771,8163,6095,17010,5386,4662,1442,3425
61,100,70798,18818,1215,17117,4115,3364,2309,2330
56,100,7563,12229,9584,8661,2186,7065,1297,3430
63,100,21837,16122,10641,10885,1188,4278,3868,3706
64,100,9873,12551,3363,12798,1136,5310,4193,3032
63,96,39292,31613,16852,5596,3958,4346,3656,3937
61,97,48801,11690,2250,16094,1381,3915,1250,3714
60,93,4954,12509,7943,1992,3710,3348,2919,3703
70,87,19049,14538,3343,2663,3560,3845,4279,1539
69,80,1110744,36629,15776,12381,11152,9954,3438,4137
